{50: 0.005134,
100: 0.000021,
150: 0.000032,
200: 0.000254,
250: 0.000394,
300: 0.000635,
350: 0.000368,
400: 0.000250,
450: 0.000319,
500: 0.000421,
550: 0.000550,
600: 0.000873,
650: 0.001035,
700: 0.001255,
750: 0.001485,
800: 0.001654,
850: 0.002140,
900: 0.002807,
950: 0.003004,
1000: 0.003418,
1050: 0.003929,
1100: 0.004533,
1150: 0.005278,
1200: 0.005850,
1250: 0.006981,
1300: 0.008004,
1350: 0.008741,
1400: 0.009804,
1450: 0.010457,
1500: 0.013449,
1550: 0.013371,
1600: 0.014346,
1650: 0.015718,
1700: 0.017445,
1750: 0.017899,
1800: 0.020743,
1850: 0.024328,
1900: 0.022997,
1950: 0.024893,
2000: 0.026828,
2050: 0.031443,
2100: 0.035844,
2150: 0.033880,
2200: 0.039398,
2250: 0.040211,
2300: 0.042054,
2350: 0.050724,
2400: 0.046776,
2450: 0.048917,
2500: 0.054818,
2550: 0.059017,
2600: 0.061566,
2650: 0.064972,
2700: 0.066824,
2750: 0.071331,
2800: 0.075462,
2850: 0.081045,
2900: 0.082734,
2950: 0.083890,
3000: 0.088259,
3050: 0.091319,
3100: 0.102946,
3150: 0.101522,
3200: 0.108872,
3250: 0.115505,
3300: 0.117270,
3350: 0.129371,
3400: 0.129858,
3450: 0.140321,
3500: 0.137627,
3550: 0.146694,
3600: 0.157602,
3650: 0.163276,
3700: 0.167753,
3750: 0.168386,
3800: 0.179166,
3850: 0.192517,
3900: 0.203041,
3950: 0.210731,
4000: 0.215628,
4050: 0.224126,
4100: 0.240405,
4150: 0.248703,
4200: 0.250915,
4250: 0.263162,
4300: 0.265655,
4350: 0.275159,
4400: 0.286322,
4450: 0.288317,
4500: 0.307791,
4550: 0.304937,
4600: 0.330277,
4650: 0.332361,
4700: 0.346698,
4750: 0.348926,
4800: 0.361251,
4850: 0.389203,
4900: 0.386642,
4950: 0.407553,
5000: 0.406987,
}
