{50: 0.002194,
100: 0.000021,
150: 0.000034,
200: 0.000051,
250: 0.000078,
300: 0.000121,
350: 0.004361,
400: 0.000739,
450: 0.000316,
500: 0.002186,
550: 0.002589,
600: 0.001829,
650: 0.001309,
700: 0.001237,
750: 0.001508,
800: 0.001654,
850: 0.002146,
900: 0.002450,
950: 0.002951,
1000: 0.003365,
1050: 0.004104,
1100: 0.004750,
1150: 0.007613,
1200: 0.007191,
1250: 0.006867,
1300: 0.008155,
1350: 0.008756,
1400: 0.009859,
1450: 0.010566,
1500: 0.012803,
1550: 0.013653,
1600: 0.014554,
1650: 0.015854,
1700: 0.017776,
1750: 0.020457,
1800: 0.021109,
1850: 0.023161,
1900: 0.023659,
1950: 0.025111,
2000: 0.026623,
2050: 0.030697,
2100: 0.036132,
2150: 0.034056,
2200: 0.036495,
2250: 0.037684,
2300: 0.044718,
2350: 0.048322,
2400: 0.048149,
2450: 0.049636,
2500: 0.057812,
2550: 0.058175,
2600: 0.064749,
2650: 0.067273,
2700: 0.067819,
2750: 0.076987,
2800: 0.073838,
2850: 0.081602,
2900: 0.086151,
2950: 0.086339,
3000: 0.092013,
3050: 0.095146,
3100: 0.104332,
3150: 0.104491,
3200: 0.113298,
3250: 0.116750,
3300: 0.117040,
3350: 0.134814,
3400: 0.131901,
3450: 0.144792,
3500: 0.141059,
3550: 0.148737,
3600: 0.154911,
3650: 0.164755,
3700: 0.173689,
3750: 0.173657,
3800: 0.187125,
3850: 0.192397,
3900: 0.205992,
3950: 0.207051,
4000: 0.215638,
4050: 0.229006,
4100: 0.243919,
4150: 0.251445,
4200: 0.253902,
4250: 0.264022,
4300: 0.271111,
4350: 0.287456,
4400: 0.289523,
4450: 0.297567,
4500: 0.308419,
4550: 0.309793,
4600: 0.333123,
4650: 0.341490,
4700: 0.348742,
4750: 0.372786,
4800: 0.366634,
4850: 0.396145,
4900: 0.392809,
4950: 0.409043,
5000: 0.412298,
}
