{50: 0.002698,
100: 0.000022,
150: 0.000173,
200: 0.000053,
250: 0.000078,
300: 0.000899,
350: 0.000916,
400: 0.000344,
450: 0.001560,
500: 0.000424,
550: 0.000557,
600: 0.000717,
650: 0.000904,
700: 0.001134,
750: 0.001384,
800: 0.001659,
850: 0.002149,
900: 0.002585,
950: 0.002922,
1000: 0.003417,
1050: 0.003994,
1100: 0.004520,
1150: 0.005277,
1200: 0.007004,
1250: 0.006868,
1300: 0.007951,
1350: 0.008601,
1400: 0.009718,
1450: 0.010599,
1500: 0.011784,
1550: 0.013503,
1600: 0.014661,
1650: 0.015716,
1700: 0.016946,
1750: 0.018152,
1800: 0.020913,
1850: 0.022190,
1900: 0.023442,
1950: 0.025044,
2000: 0.028134,
2050: 0.030703,
2100: 0.037360,
2150: 0.033506,
2200: 0.037796,
2250: 0.037384,
2300: 0.046126,
2350: 0.045966,
2400: 0.047591,
2450: 0.049321,
2500: 0.057511,
2550: 0.059370,
2600: 0.061689,
2650: 0.066771,
2700: 0.069438,
2750: 0.074413,
2800: 0.072841,
2850: 0.081514,
2900: 0.085860,
2950: 0.085750,
3000: 0.091392,
3050: 0.091634,
3100: 0.103057,
3150: 0.104182,
3200: 0.111726,
3250: 0.143196,
3300: 0.115981,
3350: 0.132436,
3400: 0.129097,
3450: 0.157995,
3500: 0.140927,
3550: 0.197439,
3600: 0.153884,
3650: 0.160356,
3700: 0.170919,
3750: 0.172542,
3800: 0.182915,
3850: 0.194258,
3900: 0.203531,
3950: 0.208336,
4000: 0.213631,
4050: 0.225640,
4100: 0.241887,
4150: 0.250355,
4200: 0.251192,
4250: 0.261862,
4300: 0.266472,
4350: 0.276458,
4400: 0.289961,
4450: 0.291340,
4500: 0.308346,
4550: 0.308091,
4600: 0.333831,
4650: 0.339643,
4700: 0.349163,
4750: 0.358661,
4800: 0.361878,
4850: 0.384314,
4900: 0.395865,
4950: 0.406415,
5000: 0.407313,
}
