{50: 0.000018,
100: 0.000037,
150: 0.000093,
200: 0.000198,
250: 0.000380,
300: 0.000633,
350: 0.000962,
400: 0.001363,
450: 0.001657,
500: 0.002169,
550: 0.002868,
600: 0.003647,
650: 0.004641,
700: 0.005755,
750: 0.007026,
800: 0.008523,
850: 0.010392,
900: 0.012303,
950: 0.014256,
1000: 0.016723,
1050: 0.019211,
1100: 0.021984,
1150: 0.025113,
1200: 0.028139,
1250: 0.032346,
1300: 0.036802,
1350: 0.041118,
1400: 0.046879,
1450: 0.051965,
1500: 0.055174,
1550: 0.061382,
1600: 0.066398,
1650: 0.073109,
1700: 0.080145,
1750: 0.086958,
1800: 0.098021,
1850: 0.103407,
1900: 0.112747,
1950: 0.122344,
2000: 0.131722,
2050: 0.144758,
2100: 0.155506,
2150: 0.164698,
2200: 0.175225,
2250: 0.185641,
2300: 0.202338,
2350: 0.213207,
2400: 0.228056,
2450: 0.241303,
2500: 0.255403,
2550: 0.269882,
2600: 0.288376,
2650: 0.305542,
2700: 0.325390,
2750: 0.352746,
2800: 0.363388,
2850: 0.384185,
2900: 0.403391,
2950: 0.414930,
3000: 0.433860,
3050: 0.456909,
3100: 0.482219,
3150: 0.503046,
3200: 0.526563,
3250: 0.553794,
3300: 0.578584,
3350: 0.609759,
3400: 0.634796,
3450: 0.674385,
3500: 0.714686,
3550: 0.728675,
3600: 0.788136,
3650: 0.814675,
3700: 0.853308,
3750: 0.869662,
3800: 0.905707,
3850: 0.955618,
3900: 0.988121,
3950: 1.040445,
4000: 1.058303,
4050: 1.129175,
4100: 1.154012,
4150: 1.194381,
4200: 1.227781,
4250: 1.256876,
4300: 1.296326,
4350: 1.335401,
4400: 1.386855,
4450: 1.432738,
4500: 1.491805,
4550: 1.535324,
4600: 1.580611,
4650: 1.629464,
4700: 1.683301,
4750: 1.751395,
4800: 1.802700,
4850: 1.844449,
4900: 1.903039,
4950: 1.956295,
5000: 2.017250,
}
